"Name","Calls","TotalDurationNs","AverageNs","Percentage"
"hipMalloc","3","22957074","7652358","82.3615949734081"
"hipLaunchKernel","1","2434572","2434572","8.73435495297006"
"hipMemcpy","3","2364881","788293","8.48432910406214"
"hipFree","3","73621","24540","0.264125253224225"
"hipDeviceSynchronize","1","36620","36620","0.131379182204414"
"hipGetDeviceProperties","1","5370","5370","0.0192655982642736"
"__hipPopCallConfiguration","1","580","580","0.002080828117929"
"__hipPushCallConfiguration","1","400","400","0.00143505387443379"
"hipGetLastError","1","400","400","0.00143505387443379"
"Total","15","27873518","1858234","100.0"
