"Name","Calls","TotalDurationNs","AverageNs","Percentage"
"hipMalloc","3","23130725","7710241","80.0167410669886"
"hipLaunchKernel","1","3232019","3232019","11.1806105276245"
"hipMemcpy","3","2422042","807347","8.37863523808143"
"hipFree","3","75031","25010","0.259556762660799"
"hipDeviceSynchronize","1","40840","40840","0.141278913876492"
"hipGetDeviceProperties","1","4080","4080","0.0141140540797279"
"hipGetDevice","1","970","970","0.00335554717091569"
"__hipPopCallConfiguration","1","680","680","0.00235234234662131"
"__hipPushCallConfiguration","1","630","630","0.00217937599760504"
"hipGetLastError","1","340","340","0.00117617117331066"
"Total","16","28907357","1806709","100.0"
