event_id,context,pid,engine_step_id,forward_id,phase,total_num_scheduled_tokens,layer_id,layer_type,q_len,matched,instrumented,status,error,duration_ns
input1_layer0,4-8K,69298,1,1,prefill_chunk,4096,0,linear_attention,4096,False,False,ok,,12346774932
input1_layer1,4-8K,69298,1,1,prefill_chunk,4096,1,linear_attention,4096,False,False,ok,,13875514
input1_layer2,4-8K,69298,1,1,prefill_chunk,4096,2,linear_attention,4096,False,False,ok,,4171417
input1_layer3,4-8K,69298,1,1,prefill_chunk,4096,3,full_attention,4096,True,True,ok,,113885704
input1_layer4,4-8K,69298,1,1,prefill_chunk,4096,4,linear_attention,4096,False,False,ok,,4357049
input1_layer5,4-8K,69298,1,1,prefill_chunk,4096,5,linear_attention,4096,False,False,ok,,3850174
input1_layer6,4-8K,69298,1,1,prefill_chunk,4096,6,linear_attention,4096,False,False,ok,,3793474
input1_layer7,4-8K,69298,1,1,prefill_chunk,4096,7,full_attention,4096,False,False,ok,,2500142
input1_layer8,4-8K,69298,1,1,prefill_chunk,4096,8,linear_attention,4096,False,False,ok,,3781063
input1_layer9,4-8K,69298,1,1,prefill_chunk,4096,9,linear_attention,4096,False,False,ok,,3797034
input1_layer10,4-8K,69298,1,1,prefill_chunk,4096,10,linear_attention,4096,False,False,ok,,3803264
input1_layer11,4-8K,69298,1,1,prefill_chunk,4096,11,full_attention,4096,False,False,ok,,2375951
input1_layer12,4-8K,69298,1,1,prefill_chunk,4096,12,linear_attention,4096,False,False,ok,,3769373
input1_layer13,4-8K,69298,1,1,prefill_chunk,4096,13,linear_attention,4096,False,False,ok,,3791224
input1_layer14,4-8K,69298,1,1,prefill_chunk,4096,14,linear_attention,4096,False,False,ok,,3790034
input1_layer15,4-8K,69298,1,1,prefill_chunk,4096,15,full_attention,4096,False,False,ok,,2389361
input1_layer16,4-8K,69298,1,1,prefill_chunk,4096,16,linear_attention,4096,False,False,ok,,3847894
input1_layer17,4-8K,69298,1,1,prefill_chunk,4096,17,linear_attention,4096,False,False,ok,,3803974
input1_layer18,4-8K,69298,1,1,prefill_chunk,4096,18,linear_attention,4096,False,False,ok,,3926635
input1_layer19,4-8K,69298,1,1,prefill_chunk,4096,19,full_attention,4096,False,False,ok,,2414381
input1_layer20,4-8K,69298,1,1,prefill_chunk,4096,20,linear_attention,4096,False,False,ok,,3804074
input1_layer21,4-8K,69298,1,1,prefill_chunk,4096,21,linear_attention,4096,False,False,ok,,3804174
input1_layer22,4-8K,69298,1,1,prefill_chunk,4096,22,linear_attention,4096,False,False,ok,,3822734
input1_layer23,4-8K,69298,1,1,prefill_chunk,4096,23,full_attention,4096,False,False,ok,,2386401
input1_layer24,4-8K,69298,1,1,prefill_chunk,4096,24,linear_attention,4096,False,False,ok,,3827944
input1_layer25,4-8K,69298,1,1,prefill_chunk,4096,25,linear_attention,4096,False,False,ok,,3813924
input1_layer26,4-8K,69298,1,1,prefill_chunk,4096,26,linear_attention,4096,False,False,ok,,3821114
input1_layer27,4-8K,69298,1,1,prefill_chunk,4096,27,full_attention,4096,False,False,ok,,2407801
input1_layer28,4-8K,69298,1,1,prefill_chunk,4096,28,linear_attention,4096,False,False,ok,,3875535
input1_layer29,4-8K,69298,1,1,prefill_chunk,4096,29,linear_attention,4096,False,False,ok,,3845124
input1_layer30,4-8K,69298,1,1,prefill_chunk,4096,30,linear_attention,4096,False,False,ok,,3881764
input1_layer31,4-8K,69298,1,1,prefill_chunk,4096,31,full_attention,4096,True,True,ok,,276201149
