-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                execute_context_1(4096)_generation_0(0)         0.00%       0.000us         0.00%       0.000us       0.000us       24.218s        92.61%       24.218s        4.844s             5  
                    vllm::unified_attention_with_output         0.09%      24.187ms         0.11%      28.283ms     294.614us       20.299s        77.62%       20.299s     211.447ms            96  
                            kernel_unified_attention_2d         0.00%       0.000us         0.00%       0.000us       0.000us       20.299s        77.62%       20.299s     211.447ms            96  
                                               aten::mm         0.22%      57.966ms         0.32%      84.692ms      54.675us        3.118s        11.92%        3.118s       2.013ms          1549  
## Call CompiledFxGraph f6vus5dtvsegihazoyj7tid7wufq...         0.00%       0.000us         0.00%       0.000us       0.000us        1.714s         6.56%        1.714s      10.715ms           160  
                   execute_context_0(0)_generation_1(1)         0.00%       0.000us         0.00%       0.000us       0.000us        1.663s         6.36%        1.663s      72.326ms            23  
Cijk_Alik_Bljk_BBH_MT256x256x16_SE_AMAS3_BW_DTL0_BL1...         0.00%       0.000us         0.00%       0.000us       0.000us        1.379s         5.28%        1.379s       4.311ms           320  
Cijk_Alik_Bljk_BBH_MT256x256x16_SE_AMAS3_BW_DTL0_BL1...         0.00%       0.000us         0.00%       0.000us       0.000us        1.032s         3.95%        1.032s       1.501ms           688  
Cijk_Alik_Bljk_BBH_MT64x32x32_SE_AMAS3_BW_DTL0_BL1_D...         0.00%       0.000us         0.00%       0.000us       0.000us        1.007s         3.85%        1.007s     390.749us          2576  
## Call CompiledFxGraph fbks22lttyt6iuni4kcnb25dx7rk...         0.00%       0.000us         0.00%       0.000us       0.000us     856.679ms         3.28%     856.679ms      10.708ms            80  
## Call CompiledFxGraph fcv4jhjpzc6y3refdtcjcaok6hrz...         0.00%       0.000us         0.00%       0.000us       0.000us     790.442ms         3.02%     790.442ms      10.539ms            75  
Cijk_Alik_Bljk_BBH_MT256x256x16_SE_AMAS3_BW_DTL0_BL1...         0.00%       0.000us         0.00%       0.000us       0.000us     644.050ms         2.46%     644.050ms       2.013ms           320  
                            ChunkGatedDeltaRuleFunction         1.36%     355.612ms         1.70%     446.242ms       1.549ms     507.333ms         1.94%     513.424ms       1.783ms           288  
Cijk_Alik_Bljk_BBH_MT32x16x4_SE_AMAS3_BW_DTL0_BL1_DR...         0.00%       0.000us         0.00%       0.000us       0.000us     347.383ms         1.33%     347.383ms     116.846us          2973  
                 execute_context_1(105)_generation_0(0)         0.00%       0.000us         0.00%       0.000us       0.000us     341.650ms         1.31%     341.650ms     341.650ms             1  
         chunk_gated_delta_rule_fwd_kernel_h_blockdim64         0.00%       0.000us         0.00%       0.000us       0.000us     234.327ms         0.90%     234.327ms     813.635us           288  
